Cycle,Direction,Voltage(V),Specific Capacity (mAh/g),Current(A),status,Electrode Type
1,Discharge,0.1404,89.9304865938431,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1401,90.28514682933749,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1395,90.63980706483188,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1391,90.99446730032629,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1382,91.34912753582068,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1376,91.70095048943112,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.137,92.05561072492553,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.137,92.41027096041992,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1367,92.76493119591431,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1357,93.11675414952477,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1354,93.47141438501916,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1345,93.82607462051355,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1342,94.18073485600794,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1339,94.53539509150237,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1326,94.88721804511279,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1329,95.24187828060718,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1323,95.59653851610159,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1314,95.95119875159598,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1311,96.30302170520642,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1302,96.65768194070083,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1298,97.01234217619522,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1298,97.36700241168961,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1289,97.71882536530006,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1289,98.07348560079446,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.128,98.42814583628885,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1286,98.78280607178323,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1274,99.13746630727762,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1271,99.48928926088807,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1264,99.84394949638246,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1258,100.19860973187686,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1255,100.55326996737126,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1246,100.9050929209817,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1246,101.2597531564761,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1243,101.6144133919705,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1236,101.9690736274649,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1224,102.3237338629593,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1227,102.67555681656975,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1224,103.03021705206413,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1215,103.38487728755852,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1212,103.73953752305292,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1209,104.09136047666337,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1199,104.44602071215776,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1199,104.80068094765215,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1199,105.15534118314656,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.119,105.507164136757,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1187,105.86182437225139,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1184,106.2164846077458,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1178,106.57114484324019,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1171,106.92296779685063,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1174,107.277628032345,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1171,107.63228826783941,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1165,107.98411122144985,-0.00014973,CCCV DChg,Calendered
